Status,Policy Path,Policy Name,Supported On,Registry Settings,Help Text,Reboot Required,Comments
,Computer Configuration\Windows Settings\Local Policies\Kerberos Policy,Maximum lifetime for service ticket,"At least Windows XP SP2, Windows Server 2003",Kerberos Policy security settings are not registry keys.,"Maximum lifetime for service ticket

This security setting determines the maximum amount of time (in minutes) that a granted session ticket can be used to access a particular service. The setting must be greater than 10 minutes and less than or equal to the setting for Maximum lifetime for user ticket.

If a client presents an expired session ticket when it requests a connection to a server, the server returns an error message. The client must request a new session ticket from the Kerberos V5 Key Distribution Center (KDC). Once a connection is authenticated, however, it no longer matters whether the session ticket remains valid. Session tickets are used only to authenticate new connections with servers. Ongoing operations are not interrupted if the session ticket that is used to authenticate the connection expires during the connection.

Default: 600 minutes (10 hours).",No,clients will get the new setting after a maximum of 8 hours but for DCs to assign these new settings a Gpupdate /force is required or waiting for the usual 5 minutes when the SCE engine assigns all modified settings.
,Computer Configuration\Windows Settings\Local Policies\Kerberos Policy,Maximum lifetime for user ticket,"At least Windows XP SP2, Windows Server 2003",Kerberos Policy security settings are not registry keys.,"Maximum lifetime for user ticket

This security setting determines the maximum amount of time (in hours) that a user's ticket-granting ticket (TGT) may be used.

Default: 10 hours.",No,clients will get the new setting after a maximum of 8 hours but for DCs to assign these new settings a Gpupdate /force is required or waiting for the usual 5 minutes when the SCE engine assigns all modified settings.
,Computer Configuration\Windows Settings\Local Policies\Kerberos Policy,Maximum lifetime for user ticket renewal,"At least Windows XP SP2, Windows Server 2003",Kerberos Policy security settings are not registry keys.,"Maximum lifetime for user ticket renewal

This security setting determines the period of time (in days) during which a user's ticket-granting ticket (TGT) may be renewed.

Default: 7 days.",No,clients will get the new setting after a maximum of 8 hours but for DCs to assign these new settings a Gpupdate /force is required or waiting for the usual 5 minutes when the SCE engine assigns all modified settings.
,Computer Configuration\Windows Settings\Local Policies\Kerberos Policy,Maximum tolerance for computer clock synchronization,"At least Windows XP SP2, Windows Server 2003",Kerberos Policy security settings are not registry keys.,"Maximum tolerance for computer clock synchronization

This security setting determines the maximum time difference (in minutes) that Kerberos V5 tolerates between the time on the client clock and the time on the domain controller running Windows Server 2003 that provides Kerberos authentication.

To prevent ""replay attacks,"" Kerberos V5 uses time stamps as part of its protocol definition. For time stamps to work properly, the clocks of the client and the domain controller need to be in sync as much as possible. In other words, both computers must be set to the same time and date. Because the clocks of two computers are often out of sync, administrators can use this policy to establish the maximum acceptable difference to Kerberos V5 between a client clock and domain controller clock. If the difference between a client clock and the domain controller clock is less than the maximum time difference that is specified in this policy, any time stamp that is used in a session between the two computers is considered to be authentic.

Important

This setting is not persistent on pre Vista platforms. If you configure this setting and then restart the computer, this setting reverts to the default value.

Default: 5 minutes.",No,clients will get the new setting after a maximum of 8 hours but for DCs to assign these new settings a Gpupdate /force is required or waiting for the usual 5 minutes when the SCE engine assigns all modified settings.
,Computer Configuration\Windows Settings\Local Policies\Audit Policy,Audit account logon events,"At least Windows XP SP2, Windows Server 2003",Audit Policy security settings are not registry keys. ,"Audit account logon events

This security setting determines whether the OS audits each time this computer validates an account¡¯s credentials.

Account logon events are generated whenever a computer validates the credentials of an account for which it is authoritative.  Domain members and non-domain-joined machines are authoritative for their local accounts; domain controllers are all authoritative for accounts in the domain. Credential validation may be in support of a local logon, or, in the case of an Active Directory domain account on a domain controller, may be in support of a logon to another computer. Credential validation is stateless so there is no corresponding logoff event for account logon events. 

If this policy setting is defined, the administrator can specify whether to audit only successes, only failures, both successes and failures, or to not audit these events at all (i.e. neither successes nor failures).

Default: Success.

",No,
,Computer Configuration\Windows Settings\Local Policies\Audit Policy,Audit account management,"At least Windows XP SP2, Windows Server 2003",Audit Policy security settings are not registry keys. ,"Audit account management

This security setting determines whether to audit each event of account management on a computer. Examples of account management events include:

A user account or group is created, changed, or deleted.
A user account is renamed, disabled, or enabled.
A password is set or changed.
If you define this policy setting, you can specify whether to audit successes, audit failures, or not audit the event type at all. Success audits generate an audit entry when any account management event succeeds. Failure audits generate an audit entry when any account management event fails. To set this value to No auditing, in the Properties dialog box for this policy setting, select the Define these policy settings check box and clear the Success and Failure check boxes.

Default:

Success on domain controllers.
No auditing on member servers.

",No,
,Computer Configuration\Windows Settings\Local Policies\Audit Policy,Audit directory service access,"At least Windows XP SP2, Windows Server 2003",Audit Policy security settings are not registry keys. ,"Audit directory service access

This security setting determines whether the OS audits user attempts to access Active Directory objects. Audit is only generated for objects that have system access control lists (SACL) specified, and only if the type of access requested (such as Write, Read, or Modify) and the account making the request match the settings in the SACL.  

The administrator can specify whether to audit only successes, only failures, both successes and failures, or to not audit these events at all (i.e. neither successes nor failures).  

If Success auditing is enabled, an audit entry is generated each time any  account successfully accesses a Directory object that has a matching SACL specified.  

If Failure auditing is enabled, an audit entry is generated each time any user unsuccessfully attempts to access a Directory object that has a matching SACL specified.

Default:

Success on domain controllers.
Undefined for a member computer.

",No,
,Computer Configuration\Windows Settings\Local Policies\Audit Policy,Audit logon events,"At least Windows XP SP2, Windows Server 2003",Audit Policy security settings are not registry keys. ,"Audit logon events

This security setting determines whether the OS audits each instance of a user attempting to log on to or to log off to this computer.  

Log off events are generated whenever a logged on user account's logon session is terminated. If this policy setting is defined, the administrator can specify whether to audit only successes, only failures, both successes and failures, or to not audit these events at all (i.e. neither successes nor failures).

Default: Success.",No,
,Computer Configuration\Windows Settings\Local Policies\Audit Policy,Audit object access,"At least Windows XP SP2, Windows Server 2003",Audit Policy security settings are not registry keys. ,"Audit object access

This security setting determines whether the OS audits user attempts to access non-Active Directory objects. Audit is only generated for objects that have system access control lists (SACL) specified, and only if the type of access requested (such as Write, Read, or Modify) and the account making the request match the settings in the SACL.   

The administrator can specify whether to audit only successes, only failures, both successes and failures, or to not audit these events at all (i.e. neither successes nor failures).  

If Success auditing is enabled, an audit entry is generated each time any account successfully accesses a non-Directory object that has a matching SACL specified.  

If Failure auditing is enabled, an audit entry is generated each time any user unsuccessfully attempts to access a non-Directory object that has a matching SACL specified.

Note that you can set a SACL on a file system object using the Security tab in that object's Properties dialog box.

Default: No auditing.",No,
,Computer Configuration\Windows Settings\Local Policies\Audit Policy,Audit policy change,"At least Windows XP SP2, Windows Server 2003",Audit Policy security settings are not registry keys. ,"Audit policy change

This security setting determines whether the OS audits each instance of attempts to change user rights assignment policy, audit policy, account policy, or trust policy. 

The administrator can specify whether to audit only successes, only failures, both successes and failures, or to not audit these events at all (i.e. neither successes nor failures). 

If Success auditing is enabled, an audit entry is generated when an attempted change to user rights assignment policy, audit policy, or trust policy is successful. 

If Failure auditing is enabled, an audit entry is generated when an attempted change to user rights assignment policy, audit policy, or trust policy is attempted by an account that is not authorized to make the requested policy change.

Default:

Success on domain controllers.
No auditing on member servers.",No,
,Computer Configuration\Windows Settings\Local Policies\Audit Policy,Audit privilege use,"At least Windows XP SP2, Windows Server 2003",Audit Policy security settings are not registry keys. ,"Audit privilege use

This security setting determines whether to audit each instance of a user exercising a user right.

If you define this policy setting, you can specify whether to audit successes, audit failures, or not audit this type of event at all. Success audits generate an audit entry when the exercise of a user right succeeds. Failure audits generate an audit entry when the exercise of a user right fails.

To set this value to No auditing, in the Properties dialog box for this policy setting, select the Define these policy settings check box and clear the Success and Failure check boxes.

Default: No auditing.

Audits are not generated for use of the following user rights, even if success audits or failure audits are specified for Audit privilege use. Enabling auditing of these user rights tend to generate many events in the security log which may impede your computer's performance. To audit the following user rights, enable the FullPrivilegeAuditing registry key.

Bypass traverse checking
Debug programs
Create a token object
Replace process level token
Generate security audits
Back up files and directories
Restore files and directories

Caution

Incorrectly editing the registry may severely damage your system. Before making changes to the registry, you should back up any valued data on the computer.",No,
,Computer Configuration\Windows Settings\Local Policies\Audit Policy,Audit process tracking,"At least Windows XP SP2, Windows Server 2003",Audit Policy security settings are not registry keys. ,"Audit process tracking

This security setting determines whether the OS audits process-related events such as process creation, process termination, handle duplication, and indirect object access. 

If this policy setting is defined, the administrator can specify whether to audit only successes, only failures, both successes and failures, or to not audit these events at all (i.e. neither successes nor failures). 

If Success auditing is enabled, an audit entry is generated each time the OS performs one of these process-related activities. 

If Failure auditing is enabled, an audit entry is generated each time the OS fails to perform one of these activities.

Default: No auditing

",No,
,Computer Configuration\Windows Settings\Local Policies\Audit Policy,Audit system events,"At least Windows XP SP2, Windows Server 2003",Audit Policy security settings are not registry keys. ,"Audit system events

This security setting determines whether the OS audits any of the following events: 

? Attempted system time change
? Attempted security system startup or shutdown
? Attempt to load extensible authentication components
? Loss of audited events due to auditing system failure
? Security log size exceeding a configurable warning threshold level.

If this policy setting is defined, the administrator can specify whether to audit only successes, only failures, both successes and failures, or to not audit these events at all (i.e. neither successes nor failures). 

If Success auditing is enabled, an audit entry is generated each time the OS performs one of these activities successfully. 

If Failure auditing is enabled, an audit entry is generated each time the OS attempts and fails to perform one of these activities.

Default:

Success on domain controllers.
No auditing on member servers.",No,
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Access this computer from the network,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Access this computer from the network

This user right determines which users and groups are allowed to connect to the computer over the network. Remote Desktop Services are not affected by this user right.

Note: Remote Desktop Services was called Terminal Services in previous versions of Windows Server.

Default on workstations and servers:
Administrators
Backup Operators
Users
Everyone

Default on domain controllers:
Administrators
Authenticated Users
Enterprise Domain Controllers
Everyone
Pre-Windows 2000 Compatible Access",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Access Credential Manager as a trusted caller,"At least Windows Vista, Windows Server 2008",User Rights security settings are not registry keys,"This setting is used by Credential Manager during Backup/Restore. No accounts should have this privilege, as it is only assigned to Winlogon. Users saved credentials might be compromised if this privilege is given to other entities.",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Act as part of the operating system,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Act as part of the operating system

This user right allows a process to impersonate any user without authentication. The process can therefore gain access to the same local resources as that user.

Processes that require this privilege should use the LocalSystem account, which already includes this privilege, rather than using a separate user account with this privilege specially assigned. If your organization only uses servers that are members of the Windows Server 2003 family, you do not need to assign this privilege to your users. However, if your organization uses servers running Windows 2000 or Windows NT 4.0, you might need to assign this privilege to use applications that exchange passwords in plaintext.

Caution

Assigning this user right can be a security risk. Only assign this user right to trusted users.

Default: None.",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Add workstations to a domain,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Add workstations to domain

This security setting determines which groups or users can add workstations to a domain.

This security setting is valid only on domain controllers. By default, any authenticated user has this right and can create up to 10 computer accounts in the domain.

Adding a computer account to the domain allows the computer to participate in Active Directory?based networking. For example, adding a workstation to a domain enables that workstation to recognize accounts and groups that exist in Active Directory.

Default: Authenticated Users on domain controllers.

Note: Users who have the Create Computer Objects permission on the Active Directory computers container can also create computer accounts in the domain. The distinction is that users with permissions on the container are not restricted to the creation of only 10 computer accounts. In addition, computer accounts that are created by means of Add workstations to domain have Domain Administrators as the owner of the computer account, while computer accounts that are created by means of permissions on the computers container have the creator as the owner of the computer account. If a user has permissions on the container and also has the Add workstations to domain user right, the computer is added, based on the computer container permissions rather than on the user right.

",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Adjust memory quotas for a process,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Adjust memory quotas for a process

This privilege determines who can change the maximum memory that can be consumed by a process.

This user right is defined in the Default Domain Controller Group Policy object (GPO) and in the local security policy of workstations and servers.

Note: This privilege is useful for system tuning, but it can be misused, for example, in a denial-of-service attack.

Default: Administrators
Local Service
Network Service.

",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Allow log on locally,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Allow log on locally

This logon right determines which users can interactively log on to this computer. Logons initiated by pressing CTRL+ALT+DEL sequence on the attached keyboard requires the user to have this logon right. Additionally this logon right may be required by some service or administrative applications that can log on users. If you define this policy for a user or group, you must also give the Administrators group this right.

Default on workstations and servers: Administrators
Backup Operators
Users.

Default on domain controllers: Account Operators
Administrators
Backup Operators
Print Operators
Server Operators.

",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Allow log on through Remote Desktop Services,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Allow log on through Remote Desktop Services

This security setting determines which users or groups have permission to log on as a Remote Desktop Services client.

Default:

On workstation and servers: Administrators, Remote Desktop Users.
On domain controllers: Administrators.

Important

This setting does not have any effect on Windows 2000 computers that have not been updated to Service Pack 2.",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Backup files and directories,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Back up files and directories

This user right determines which users can bypass file and directory, registry, and other persistent object permissions for the purposes of backing up the system.

Specifically, this user right is similar to granting the following permissions to the user or group in question on all files and folders on the system:

Traverse Folder/Execute File
List Folder/Read Data
Read Attributes
Read Extended Attributes
Read Permissions

Caution

Assigning this user right can be a security risk. Since there is no way to be sure that a user is backing up data, stealing data, or copying data to be distributed, only assign this user right to trusted users.

Default on workstations and servers: Administrators
Backup Operators.

Default on domain controllers:Administrators
Backup Operators
Server Operators

",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Bypass traverse checking,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Bypass traverse checking

This user right determines which users can traverse directory trees even though the user may not have permissions on the traversed directory. This privilege does not allow the user to list the contents of a directory, only to traverse directories.

This user right is defined in the Default Domain Controller Group Policy object (GPO) and in the local security policy of workstations and servers.

Default on workstations and servers:
Administrators
Backup Operators
Users
Everyone
Local Service
Network Service

Default on domain controllers:
Administrators
Authenticated Users
Everyone
Local Service
Network Service
Pre-Windows 2000 Compatible Access

",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Change the system time,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Change the system time

This user right determines which users and groups can change the time and date on the internal clock of the computer. Users that are assigned this user right can affect the appearance of event logs. If the system time is changed, events that are logged will reflect this new time, not the actual time that the events occurred.

This user right is defined in the Default Domain Controller Group Policy object (GPO) and in the local security policy of workstations and servers.

Default on workstations and servers:
Administrators
Local Service

Default on domain controllers:
Administrators
Server Operators
Local Service

",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Change the time zone,"At least Windows Vista, Windows Server 2008",User Rights security settings are not registry keys,"Change the Time Zone

This user right determines which users and groups can change the time zone used by the computer for displaying the local time, which is the computer's system time plus the time zone offset. System time itself is absolute and is not affected by a change in the time zone. 

This user right is defined in the Default Domain Controller Group Policy object (GPO) and in the local security policy of the workstations and servers. 

Default: Administrators, Users",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Create a pagefile,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Create a pagefile

This user right determines which users and groups can call an internal application programming interface (API) to create and change the size of a page file. This user right is used internally by the operating system and usually does not need to be assigned to any users.

For information about how to specify a paging file size for a given drive, see To change the size of the virtual memory paging file.

Default: Administrators.

",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Create a token object,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Create a token object

This security setting determines which accounts can be used by processes to create a token that can then be used to get access to any local resources when the process uses an internal application programming interface (API) to create an access token.

This user right is used internally by the operating system. Unless it is necessary, do not assign this user right to a user, group, or process other than Local System.

Caution

Assigning this user right can be a security risk. Do not assign this user right to any user, group, or process that you do not want to take over the system.
Default: None

",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Create global objects,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Create global objects

This security setting determines whether users can create global objects that are available to all sessions. Users can still create objects that are specific to their own session if they do not have this user right. Users who can create global objects could affect processes that run under other users' sessions, which could lead to application failure or data corruption.

Caution

Assigning this user right can be a security risk. Assign this user right only to trusted users.

Default:

Administrators
Local Service
Network Service
Service",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Create permanent shared objects,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Create permanent shared objects

This user right determines which accounts can be used by processes to create a directory object using the object manager.

This user right is used internally by the operating system and is useful to kernel-mode components that extend the object namespace. Because components that are running in kernel mode already have this user right assigned to them, it is not necessary to specifically assign it.

Default: None.",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Create Symbolic Links,"At least Windows Vista, Windows Server 2008",User Rights security settings are not registry keys,"Create Symbolic Links

This privilege determines if the user can create a symbolic link from the computer he is logged on to.

Default: Administrator

WARNING: This privilege should only be given to trusted users. Symbolic links can expose security vulnerabilities in applications that aren?t designed to handle them.

Note
This setting can be used in conjunction a symlink filesystem setting that can be manipulated with the command line utility to control the kinds of symlinks that are allowed on the machine. Type ?fsutil behavior set symlinkevalution /?? at the command line to get more information about fsutil and symbolic links.",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Debug programs,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Debug programs

This user right determines which users can attach a debugger to any process or to the kernel. Developers who are debugging their own applications do not need to be assigned this user right. Developers who are debugging new system components will need this user right to be able to do so. This user right provides complete access to sensitive and critical operating system components.

Caution

Assigning this user right can be a security risk. Only assign this user right to trusted users.

Default: Administrators",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Deny access to this computer from the network,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Deny access to this computer from the network

This security setting determines which users are prevented from accessing a computer over the network. This policy setting supersedes the Access this computer from the network policy setting if a user account is subject to both policies.

Default: Guest",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Deny log on as a batch job,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Deny log on as a batch job

This security setting determines which accounts are prevented from being able to log on as a batch job. This policy setting supersedes the Log on as a batch job policy setting if a user account is subject to both policies.

Default: None.

",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Deny log on as a service,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Deny log on as a service

This security setting determines which service accounts are prevented from registering a process as a service. This policy setting supersedes the Log on as a service policy setting if an account is subject to both policies.

Note: This security setting does not apply to the System, Local Service, or Network Service accounts.

Default: None.",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Deny log on locally,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Deny log on locally

This security setting determines which users are prevented from logging on at the computer. This policy setting supersedes the Allow log on locally policy setting if an account is subject to both policies.

Important

If you apply this security policy to the Everyone group, no one will be able to log on locally.

Default: None.",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Deny log on through Remote Desktop Services,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Deny log on through Remote Desktop Services

This security setting determines which users and groups are prohibited from logging on as a Remote Desktop Services client.

Default: None.

Important

This setting does not have any effect on Windows 2000 computers that have not been updated to Service Pack 2.",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Enable computer and user accounts to be trusted for delegation,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Enable computer and user accounts to be trusted for delegation

This security setting determines which users can set the Trusted for Delegation setting on a user or computer object.

The user or object that is granted this privilege must have write access to the account control flags on the user or computer object. A server process running on a computer (or under a user context) that is trusted for delegation can access resources on another computer using delegated credentials of a client, as long as the client account does not have the Account cannot be delegated account control flag set.

This user right is defined in the Default Domain Controller Group Policy object (GPO) and in the local security policy of workstations and servers.

Caution

Misuse of this user right, or of the Trusted for Delegation setting, could make the network vulnerable to sophisticated attacks using Trojan horse programs that impersonate incoming clients and use their credentials to gain access to network resources.

Default: Administrators on domain controllers.",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Force shutdown from a remote system,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Force shutdown from a remote system

This security setting determines which users are allowed to shut down a computer from a remote location on the network. Misuse of this user right can result in a denial of service.

This user right is defined in the Default Domain Controller Group Policy object (GPO) and in the local security policy of workstations and servers.

Default:

On workstations and servers: Administrators.
On domain controllers: Administrators, Server Operators.",No,Logoff required
,Computer Configuration\Windows Settings\Local Policies\User Rights Assignment,Generate security audits,"At least Windows XP SP2, Windows Server 2003",User Rights security settings are not registry keys,"Generate security audits

This security setting determines which accounts can be used by a process to add entries to the security log. The security log is used to trace unauthorized system access. Misuse of this user right can result in the generation of many auditing events, potentially hiding evidence of an attack or causing a denial of service if the Audit: Shut down system immediately if unable to log security audits security policy setting is enabled. For more information see Audit: Shut down system immediately if unable to log security audits

Default: Local Service
Network Service.",No,Logoff required
